Price,Make,Model,Year,Style,Fuel,Engine,Distance,Cylinders,Transmission,Drive,Wheel,Color,ID
392,BMW,535,2012,Sedan,Petrol,3,204318 km,6.0,Automatic,Rear,Left wheel,Black,23
16935,FORD,Fusion,2013,Sedan,Petrol,1.6 Turbo,83000 km,4.0,Tiptronic,Front,Left wheel,Silver,24
7213,NISSAN,Juke,2013,Jeep,Petrol,1.6,312118 km,4.0,Automatic,Front,Left wheel,Black,25
20526,HYUNDAI,Tucson,2013,Jeep,Diesel,2,200279 km,4.0,Automatic,Front,Left wheel,Grey,26
34657,HYUNDAI,H1,2014,Minivan,Diesel,2.5,154672 km,4.0,Automatic,Front,Left wheel,Silver,27
36564,HYUNDAI,H1,2016,Minivan,Diesel,2.5,110969 km,4.0,Automatic,Front,Left wheel,Black,28
5488,TOYOTA,Vitz,2001,Hatchback,Petrol,1.5,210000 km,4.0,Manual,Front,Right-hand drive,Sky blue,29
15800,CHEVROLET,Captiva,2011,Jeep,Diesel,2.2,255456 km,4.0,Automatic,Front,Left wheel,Silver,30
14740,TOYOTA,Prius,2011,Hatchback,Hybrid,1.8,288000 km,4.0,Automatic,Front,Left wheel,White,31
42337,FORD,Mustang,2016,Cabriolet,Petrol,2.3 Turbo,75000 km,4.0,Tiptronic,Rear,Left wheel,Silver,32
3763,MERCEDES-BENZ,ML 350,2014,Jeep,Petrol,3.5,94362 km,6.0,Automatic,Rear,Left wheel,White,33
18189,TOYOTA,Prius,2012,Sedan,Petrol,1.8,175000 km,4.0,Automatic,Front,Left wheel,Silver,34
862,LEXUS,GX 470,2008,Jeep,Petrol,4.7,263190 km,8.0,Automatic,4x4,Left wheel,White,35
21953,HONDA,Civic,2014,Sedan,Hybrid,1.4,16000 km,8.0,Automatic,4x4,Right-hand drive,White,36
36065,HYUNDAI,Santa FE,2014,Jeep,Diesel,2,69191 km,4.0,Automatic,Front,Left wheel,White,37
8781,HONDA,FIT,2012,Hatchback,Hybrid,1.3,83000 km,4.0,Tiptronic,Front,Right-hand drive,Green,38
16289,CHEVROLET,Orlando,2012,Jeep,Diesel,2,172000 km,4.0,Automatic,Front,Left wheel,Grey,39
77775,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Petrol,5.5,433811 km,8.0,Automatic,4x4,Left wheel,Black,40
2822,BMW,520 Vanos,1995,Sedan,Petrol,2,350000 km,6.0,Manual,Rear,Left wheel,Blue,41
6981,DAEWOO,Lacetti,2008,Sedan,Petrol,2,103246 km,4.0,Automatic,Front,Left wheel,Black,42
4234,HONDA,Civic,1997,Hatchback,Petrol,1.4,0 km,4.0,Manual,Front,Left wheel,Blue,43
15053,MERCEDES-BENZ,E 320,2004,Sedan,Petrol,3.2,214000 km,6.0,Tiptronic,Rear,Left wheel,Grey,44
2901,CHEVROLET,Cruze,2014,Sedan,Petrol,1.4,80827 km,4.0,Automatic,Front,Left wheel,Green,45
26657,MERCEDES-BENZ,Sprinter,2004,Microbus,Diesel,2.2 Turbo,300000 km,4.0,Manual,Rear,Left wheel,White,46
10663,TOYOTA,Prius,2007,Hatchback,Petrol,1.5,318400 km,4.0,Automatic,Front,Left wheel,Silver,47
12858,KIA,Picanto,2016,Hatchback,Petrol,1.2,107000 km,4.0,Manual,Front,Left wheel,Silver,48
44752,HYUNDAI,H1,2016,Universal,Diesel,2.5,86000 km,4.0,Automatic,Front,Left wheel,Grey,49
94,HONDA,FIT,2003,Hatchback,Petrol,1.5,178000 km,4.0,Variator,Front,Right-hand drive,Silver,50
25591,SSANGYONG,Korando,2013,Jeep,Diesel,2,85704 km,4.0,Automatic,Front,Left wheel,Silver,51
23521,TOYOTA,Camry,2013,Sedan,Hybrid,2.5,90000 km,4.0,Tiptronic,Front,Left wheel,White,52
706,MAZDA,616,2014,Sedan,Petrol,2.5,0 km,4.0,Automatic,Front,Left wheel,Red,53
16935,FORD,Fusion,2015,Sedan,Petrol,2,71454 km,4.0,Automatic,Front,Left wheel,Black,54
19444,TOYOTA,Camry,2012,Sedan,Petrol,2.5,0 km,4.0,Tiptronic,Front,Left wheel,Black,55
11604,HYUNDAI,Sonata,2014,Sedan,LPG,2,346470 km,4.0,Automatic,Front,Left wheel,Silver,56
706,TOYOTA,Camry,2014,Sedan,Hybrid,2.5,115312 km,4.0,Automatic,Front,Left wheel,Grey,57
9408,MERCEDES-BENZ,C 220,1999,Sedan,Diesel,2.2 Turbo,111111 km,4.0,Manual,Rear,Left wheel,Silver,58
549,NISSAN,Maxima,2004,Sedan,Petrol,3.5,299709 km,6.0,Automatic,Front,Left wheel,Grey,59
15681,MITSUBISHI,Pajero,1997,Jeep,Petrol,2.4,142000 km,4.0,Automatic,4x4,Left wheel,Blue,60
706,LEXUS,GX 460,2015,Jeep,Petrol,4.6,102907 km,8.0,Automatic,4x4,Left wheel,Black,61
18660,HYUNDAI,Sonata,2013,Sedan,Petrol,2.4,130000 km,4.0,Tiptronic,Front,Left wheel,Black,62
22580,MERCEDES-BENZ,E 300,2017,Sedan,Petrol,2,50930 km,4.0,Automatic,Rear,Left wheel,Black,63
11604,HYUNDAI,Sonata,2014,Sedan,LPG,2,264872 km,4.0,Automatic,Front,Left wheel,Silver,64
314,CHEVROLET,Volt,2014,Hatchback,Hybrid,1.4,131893 km,4.0,Automatic,Front,Left wheel,Brown,65
5488,GMC,TERRAIN,2013,Jeep,Petrol,2.4,138958 km,4.0,Automatic,Front,Left wheel,Black,66
18817,TOYOTA,Camry,2018,Sedan,Hybrid,2.5,35058 km,4.0,Automatic,Front,Left wheel,White,67
21169,HONDA,Hr-v EX,2015,Jeep,Petrol,1.8,33330 km,4.0,Automatic,4x4,Left wheel,Grey,68
1568,VOLKSWAGEN,Jetta,2014,Sedan,Diesel,2,82392 km,4.0,Automatic,Front,Left wheel,Silver,69
11290,HYUNDAI,Sonata,2016,Sedan,LPG,2,279787 km,4.0,Automatic,Front,Left wheel,Silver,70
36065,TOYOTA,Sienna,2010,Minivan,Petrol,3.5,227200 km,6.0,Tiptronic,Front,Left wheel,White,71
862,TOYOTA,Camry,2014,Sedan,Hybrid,2.5,130478 km,4.0,Automatic,Front,Left wheel,White,72
21395,HYUNDAI,H1,2012,Universal,Diesel,2.5,166144 km,4.0,Automatic,Front,Left wheel,Silver,73
15681,HYUNDAI,Sonata,2016,Sedan,LPG,2,258706 km,4.0,Automatic,Front,Left wheel,Silver,74
627,CHEVROLET,Volt,2012,Jeep,Hybrid,1.4,188419 km,4.0,Automatic,Front,Left wheel,Red,75
72130,LEXUS,NX 300,2018,Jeep,Petrol,2.0 Turbo,18918 km,4.0,Tiptronic,Front,Left wheel,Black,76
35927,SSANGYONG,REXTON,2013,Jeep,Diesel,2,137267 km,4.0,Automatic,Front,Left wheel,Silver,77
21012,TOYOTA,Prius,2014,Sedan,Hybrid,1.8,160000 km,4.0,Automatic,4x4,Left wheel,White,78
21012,TOYOTA,Tacoma,2018,Sedan,Petrol,3.5,27358 km,6.0,Automatic,Front,Left wheel,Grey,79
13172,KIA,Carnival grand,2009,Minivan,Diesel,2.9,84176 km,4.0,Automatic,Front,Left wheel,White,80
15624,HYUNDAI,Genesis,2011,Coupe,Petrol,2,107005 km,4.0,Automatic,Front,Left wheel,Grey,81
4547,OPEL,Vectra,1997,Sedan,Petrol,1.6,15000 km,4.0,Manual,Front,Left wheel,Beige,82
5488,INFINITI,QX60,2015,Jeep,Petrol,3.5,124154 km,6.0,Automatic,4x4,Left wheel,Black,83
1300,AUDI,50,2018,Coupe,Petrol,0.5,4000 km,1.0,Tiptronic,Rear,Right-hand drive,Blue,84
43880,HYUNDAI,Santa FE,2016,Jeep,Diesel,2,113700 km,4.0,Automatic,Front,Left wheel,Silver,85
17249,TOYOTA,Camry,2011,Sedan,Hybrid,2.5,152000 km,4.0,Variator,Front,Left wheel,White,86
9408,TOYOTA,Vitz funkargo,2003,Universal,Petrol,1.5,181926 km,4.0,Automatic,4x4,Right-hand drive,Silver,87
627,AUDI,A6,2014,Sedan,Petrol,3,164488 km,6.0,Automatic,4x4,Left wheel,Silver,88
9408,MITSUBISHI,Pajero,1998,Jeep,Petrol,3.5 Turbo,11000 km,6.0,Tiptronic,4x4,Right-hand drive,Silver,89
314,MERCEDES-BENZ,E 350,2014,Sedan,Diesel,3.5,149486 km,6.0,Automatic,4x4,Left wheel,Silver,90
2300,VOLKSWAGEN,Golf,1996,Sedan,CNG,2,0 km,4.0,Manual,Front,Left wheel,Green,91
56450,TOYOTA,Camry Se,2018,Sedan,Petrol,2.5,25000 km,4.0,Tiptronic,Front,Left wheel,Blue,92
1490,VOLKSWAGEN,Jetta,2014,Universal,Diesel,2,113214 km,4.0,Automatic,Front,Left wheel,Grey,93
627,TOYOTA,Tacoma,2012,Sedan,Petrol,2.7,394069 km,4.0,Automatic,Rear,Left wheel,Black,94
314,MERCEDES-BENZ,E 350,2014,Sedan,Diesel,3.5,149486 km,6.0,Automatic,4x4,Left wheel,Silver,95
13172,HONDA,Cr-v,2002,Jeep,Petrol,2.4,260000 km,4.0,Automatic,4x4,Left wheel,Silver,96
19757,NISSAN,Patrol Y60,1990,Jeep,Diesel,2.8 Turbo,222222 km,4.0,Manual,Rear,Left wheel,Black,97
4704,AUDI,A7,2013,Hatchback,Petrol,3,301707 km,6.0,Automatic,4x4,Left wheel,Grey,98
5802,MERCEDES-BENZ,E 350,2013,Sedan,Diesel,3.5,107800 km,6.0,Automatic,Rear,Left wheel,Grey,99
25716,TOYOTA,Camry,2014,Sedan,Petrol,2.5,115200 km,4.0,Automatic,Front,Left wheel,Silver,100
45436,FORD,Explorer,2011,Jeep,Petrol,3.5,129177 km,4.0,Automatic,Front,Left wheel,White,101
11917,HYUNDAI,I30,2008,Hatchback,Diesel,1.6,201000 km,4.0,Manual,Front,Left wheel,Black,102
41281,HYUNDAI,Santa FE,2015,Jeep,Diesel,2,185811 km,4.0,Automatic,Front,Left wheel,Black,103
4391,NISSAN,Altima,1998,Sedan,Petrol,2.4,358400 km,4.0,Manual,Front,Left wheel,Brown,104
3058,PORSCHE,Cayenne,2018,Sedan,Petrol,3.6,28968 km,6.0,Automatic,4x4,Left wheel,White,105
3700,ALFA ROMEO,147,2001,Coupe,Petrol,1.8,240000 km,4.0,Manual,Front,Left wheel,Black,106
15681,SUZUKI,Grand Vitara,2008,Jeep,Petrol,1.6,98000 km,4.0,Automatic,4x4,Left wheel,Black,107
12544,TOYOTA,Prius,2007,Hatchback,Hybrid,1.5,140000 km,4.0,Automatic,Front,Left wheel,Beige,108
72130,PORSCHE,Panamera,2010,Hatchback,Petrol,4.8,196800 km,8.0,Tiptronic,4x4,Left wheel,White,109
21639,HYUNDAI,Veloster,2015,Hatchback,Petrol,1.6,17200 km,4.0,Tiptronic,Front,Left wheel,Red,110
36692,TOYOTA,RAV 4 XLE Sport,2013,Jeep,Petrol,2.5,120000 km,4.0,Tiptronic,Front,Left wheel,White,111
12231,TOYOTA,Aqua,2014,Hatchback,Hybrid,1.5,66000 km,,Variator,Front,Right-hand drive,Silver,112
9408,HONDA,FIT,2012,Hatchback,Hybrid,1.3,64000 km,4.0,Variator,Front,Right-hand drive,Black,113
5959,CHEVROLET,Avalanche,2011,Sedan,Petrol,5.3,246976 km,8.0,Automatic,Front,Left wheel,Black,114
26594,HYUNDAI,H1,2014,Minivan,Diesel,2.5,179918 km,4.0,Automatic,Front,Left wheel,Silver,115
36065,TOYOTA,Avalon LIMITED,2013,Sedan,Hybrid,2.5,92200 km,4.0,Tiptronic,Front,Left wheel,Beige,116
26343,KIA,Cerato K3,2016,Sedan,Diesel,1.6 Turbo,29000 km,4.0,Tiptronic,Front,Left wheel,Silver,117
6000,JEEP,Grand Cherokee,1993,Jeep,Petrol,4,240000 km,6.0,Automatic,4x4,Left wheel,Green,118
40142,LEXUS,GX 470,2010,Jeep,Petrol,,357246 km,8.0,Automatic,4x4,Left wheel,Grey,119
17923,CHEVROLET,Cruze,2014,Sedan,Petrol,1.4,127842 km,4.0,Automatic,Front,Left wheel,White,120
54518,HYUNDAI,Tucson,2017,Jeep,Petrol,1.6,40193 km,4.0,Automatic,Front,Left wheel,Black,121
10349,OPEL,Astra G,2003,Hatchback,Petrol,1.6,180000 km,4.0,Manual,Front,Left wheel,Silver,122
8154,TOYOTA,Ist,2002,Hatchback,Petrol,1.3,115000 km,4.0,Automatic,Front,Right-hand drive,Silver,123
282,FORD,Escape,2008,Jeep,Hybrid,0.4,220474 km,4.0,Automatic,Front,Left wheel,Grey,124
7527,VOLKSWAGEN,Passat,2013,Sedan,Diesel,2,132310 km,4.0,Automatic,Front,Left wheel,Grey,125
3450,TOYOTA,Camry,2017,Sedan,Petrol,2.5,60762 km,4.0,Automatic,Front,Left wheel,White,126
22063,HYUNDAI,Tucson,2010,Jeep,Diesel,2,142264 km,4.0,Automatic,Front,Left wheel,White,127
4704,TOYOTA,Corolla,2013,Sedan,Petrol,1.8,227371 km,4.0,Automatic,Front,Left wheel,Silver,128
5331,VOLKSWAGEN,Passat,2002,Sedan,Petrol,2.8,175000 km,6.0,Manual,Front,Left wheel,Grey,129
941,VOLKSWAGEN,Jetta,2012,Sedan,Diesel,2,203440 km,4.0,Automatic,Front,Left wheel,Black,130
18189,NISSAN,Rogue,2010,Jeep,Petrol,2.5,122000 km,4.0,Automatic,4x4,Left wheel,Silver,131
42651,MERCEDES-BENZ,GLA 250,2017,Jeep,Petrol,2,44995 km,4.0,Automatic,4x4,Left wheel,Black,132
73071,LEXUS,GS 350,2013,Sedan,Petrol,3.5,56000 km,6.0,Tiptronic,Rear,Left wheel,Black,133
862,FORD,Fusion,2014,Sedan,Hybrid,2,186048 km,4.0,Automatic,Front,Left wheel,Black,134
862,CHEVROLET,Volt,2014,Jeep,Hybrid,1.4,133195 km,4.0,Automatic,Front,Left wheel,Black,135
59865,HYUNDAI,Tucson,2019,Jeep,Diesel,1.6,13000 km,4.0,Automatic,Front,Left wheel,White,136
49237,TOYOTA,Tacoma,2017,Jeep,Petrol,2.7,94262 km,4.0,Automatic,Rear,Left wheel,White,137
282,FORD,Fusion,2014,Sedan,Hybrid,2,0 km,4.0,Automatic,Front,Left wheel,Silver,138
392,NISSAN,Juke,2015,Jeep,Petrol,1.6,85944 km,4.0,Automatic,4x4,Left wheel,Black,139
33556,MERCEDES-BENZ,C 300,2015,Sedan,Petrol,2,0 km,4.0,Automatic,Rear,Left wheel,Black,140
39161,SSANGYONG,Actyon,2017,Jeep,,1.6,73000 km,4.0,Automatic,Front,Left wheel,White,141
16308,FORD,Transit,2008,Microbus,Diesel,2.2,180000 km,4.0,Manual,Front,Left wheel,White,142
20385,CHEVROLET,Cruze,2017,Sedan,Petrol,1.4 Turbo,42000 km,4.0,Tiptronic,Front,Left wheel,Black,143
941,TOYOTA,Tundra,2016,Jeep,Petrol,4.6,254805 km,8.0,Automatic,4x4,Left wheel,White,144
49858,HYUNDAI,Tucson,2019,Jeep,Diesel,2,48000 km,4.0,Automatic,Front,Left wheel,White,145
8781,NISSAN,Elgrand,1998,Minivan,Diesel,3.2 Turbo,230000 km,4.0,Automatic,4x4,Right-hand drive,White,146
9722,HYUNDAI,Sonata,2015,Sedan,LPG,2,582376 km,4.0,Automatic,Front,Left wheel,Orange,147
21326,MERCEDES-BENZ,CLS 500,2006,Sedan,Petrol,5,2000 km,8.0,Automatic,Rear,Left wheel,Grey,148
51075,HYUNDAI,Tucson,2017,Jeep,Diesel,2,40800 km,4.0,Automatic,Front,Left wheel,White,149
27911,MERCEDES-BENZ,C 250,2014,Sedan,Petrol,1.8 Turbo,70000 km,4.0,Tiptronic,Rear,Left wheel,Beige,150
29793,MERCEDES-BENZ,S 350,2005,Sedan,Petrol,3.5,263000 km,4.0,Automatic,Rear,Left wheel,Black,151
30,NISSAN,Tiida,2006,Hatchback,Petrol,1.5,0 km,4.0,Automatic,Front,Right-hand drive,Red,152
6272,OPEL,Zafira,2000,Goods wagon,Petrol,1.8,130000 km,4.0,Manual,Front,Left wheel,Silver,153
43576,HYUNDAI,H1,2016,Universal,Diesel,2.5,97129 km,4.0,Automatic,Front,Left wheel,Silver,154
7840,MERCEDES-BENZ,C 200,2001,Sedan,CNG,2,140000 km,4.0,Manual,Rear,Left wheel,Black,155
700,OPEL,Astra,1992,Sedan,Petrol,1.1,0 km,4.0,Manual,Front,Left wheel,White,156
2352,MAZDA,323,1998,Hatchback,Petrol,1.5,300000 km,4.0,Manual,Front,Left wheel,Silver,157
18817,CHEVROLET,Cruze,2017,Hatchback,Petrol,1.4,29094 km,4.0,Automatic,Front,Left wheel,Grey,158
37320,MERCEDES-BENZ,E 350 ამგ,2013,Sedan,Petrol,3.5,156800 km,4.0,Tiptronic,4x4,Left wheel,Black,159
39201,TOYOTA,Camry,2015,Sedan,Hybrid,2.5,35000 km,4.0,Automatic,Front,Left wheel,Grey,160
36426,HYUNDAI,Elantra,2018,Sedan,LPG,1.6,35643 km,4.0,Automatic,Front,Left wheel,White,161
7840,MERCEDES-BENZ,CLK 320,2000,Coupe,Petrol,3.2,255000 km,6.0,Tiptronic,Rear,Left wheel,Silver,162
8154,SUBARU,Forester,2012,Jeep,Petrol,2.5,281659 km,4.0,Automatic,4x4,Left wheel,Blue,163
45160,MERCEDES-BENZ,ML 250,2015,Jeep,Diesel,2.1,197338 km,4.0,Automatic,4x4,Left wheel,White,164
1176,MITSUBISHI,Colt Lancer,2014,Hatchback,Petrol,2,136634 km,4.0,Automatic,Front,Left wheel,Silver,165
2901,HYUNDAI,Sonata,2018,Sedan,Petrol,2.4,45494 km,4.0,Automatic,Front,Left wheel,White,166
6586,BMW,318,1997,Sedan,LPG,1.8,270000 km,4.0,Manual,Rear,Left wheel,Green,167
14426,TOYOTA,Camry,2006,Sedan,Hybrid,2.4,188800 km,4.0,Variator,Front,Left wheel,Grey,168
21639,SUBARU,Forester,2016,Jeep,Petrol,2.5,34000 km,4.0,Variator,4x4,Left wheel,White,169
7840,HYUNDAI,I30,2009,Hatchback,Petrol,1.6,140000 km,4.0,Automatic,Front,Left wheel,Silver,170
282,FORD,Escape,2008,Jeep,Hybrid,0.4,220474 km,4.0,Automatic,Front,Left wheel,Grey,171
314,ACURA,TL,2010,Sedan,Petrol,3.5,162453 km,6.0,Automatic,Front,Left wheel,Silver,172
470,MERCEDES-BENZ,E 350,2010,Sedan,Petrol,3.5,229904 km,6.0,Automatic,4x4,Left wheel,Black,173
4704,HYUNDAI,Elantra,2007,Sedan,Diesel,1.6,54279 km,4.0,Automatic,Front,Left wheel,Silver,174
26372,HYUNDAI,Tucson,2013,Jeep,Diesel,2,120534 km,4.0,Automatic,Front,Left wheel,Silver,175
13485,BMW,X5,2003,Jeep,LPG,3,189000 km,6.0,Tiptronic,4x4,Right-hand drive,Black,176
13172,MERCEDES-BENZ,E 350,2011,Sedan,Diesel,5.5,325811 km,8.0,Automatic,4x4,Left wheel,Black,177
627,TOYOTA,CHR,2019,Jeep,Petrol,2,24339 km,4.0,Automatic,Front,Left wheel,Blue,178
8097,DAEWOO,Lacetti,2009,Sedan,Petrol,1.6,130000 km,4.0,Automatic,Front,Left wheel,Black,179
18503,HYUNDAI,Sonata,2012,Sedan,Hybrid,2,280480 km,4.0,Automatic,Front,Left wheel,Silver,180
40,HONDA,FIT,2002,Hatchback,Petrol,1.3,135000 km,4.0,Variator,Front,Right-hand drive,Black,181
17054,HYUNDAI,H1,2011,Universal,Diesel,2.5,237853 km,4.0,Automatic,Front,Left wheel,Silver,182
5300,HONDA,Stream,2001,Universal,Petrol,2,111000 km,4.0,Automatic,Front,Right-hand drive,Black,183
24302,CHEVROLET,Malibu,2015,Sedan,Diesel,2,60618 km,4.0,Automatic,Front,Left wheel,Black,184
15530,HYUNDAI,Sonata,2016,Sedan,LPG,2,280016 km,4.0,Automatic,Front,Left wheel,Silver,185
11290,HYUNDAI,Sonata,2016,Sedan,LPG,2,270874 km,4.0,Automatic,Front,Left wheel,Silver,186
24148,TOYOTA,Prius,2013,Hatchback,Hybrid,1.8,118000 km,4.0,Automatic,Front,Left wheel,Sky blue,187
10036,HYUNDAI,Sonata,2014,Sedan,LPG,2,362868 km,4.0,Automatic,Front,Left wheel,Silver,188
549,LEXUS,RX 350,2010,Jeep,Petrol,3.5,138211 km,6.0,Automatic,4x4,Left wheel,Black,189
9252,HYUNDAI,Sonata,2015,Sedan,LPG,2,391625 km,4.0,Automatic,Front,Left wheel,Orange,190
55823,HYUNDAI,Tucson,2018,Jeep,Diesel,1.7,38577 km,4.0,Automatic,Front,Left wheel,Black,191
25089,TOYOTA,Camry,2013,Sedan,Petrol,2.5,132800 km,,Tiptronic,Rear,Left wheel,Blue,192
15053,FORD,Transit,2001,Microbus,Diesel,2.4,253206 km,4.0,Manual,Rear,Left wheel,White,193
10660,HONDA,FIT,2014,Hatchback,Hybrid,1.5,76525 km,4.0,Automatic,Front,Left wheel,Blue,194
14583,MERCEDES-BENZ,E 350,2011,Sedan,Diesel,3.5,230696 km,6.0,Automatic,4x4,Left wheel,Black,195
22649,HYUNDAI,Tucson,2011,Jeep,Diesel,2,142000 km,4.0,Automatic,Front,Left wheel,White,196
16590,HYUNDAI,H1,2011,Minivan,Diesel,2.5,42415 km,4.0,Automatic,Front,Left wheel,White,197
31988,TOYOTA,Camry,2014,Sedan,Hybrid,2.5,51000 km,4.0,Automatic,Front,Left wheel,Grey,198
21012,TOYOTA,Camry,2015,Sedan,Hybrid,2.5,89000 km,4.0,Variator,Front,Left wheel,Silver,199
13485,VOLKSWAGEN,GTI,2006,Hatchback,Petrol,2.0 Turbo,161000 km,4.0,Manual,Front,Left wheel,Black,200
5331,MITSUBISHI,Colt,2003,Hatchback,Petrol,1.3,241589 km,4.0,Variator,Front,Right-hand drive,Sky blue,201
7370,OPEL,Zafira,2000,Minivan,Petrol,1.8,260000 km,4.0,Manual,Front,Left wheel,Silver,202
11900,FORD,Transit,2003,Microbus,Diesel,2.0 Turbo,195000 km,6.0,Manual,Front,Left wheel,Yellow,203
17249,VOLKSWAGEN,Jetta,2015,Sedan,Petrol,1.8 Turbo,55000 km,4.0,Tiptronic,Front,Left wheel,Black,204
17876,FORD,C-MAX,2013,Hatchback,Hybrid,2,120000 km,4.0,Tiptronic,Front,Right-hand drive,Silver,205
13799,BMW,750,2005,Sedan,Petrol,4.8,240000 km,8.0,Tiptronic,Rear,Left wheel,Black,206
7840,MERCEDES-BENZ,E 250,1995,Sedan,Diesel,2.5,410918 km,2.0,Manual,Front,Left wheel,White,207
11917,HONDA,FIT,2011,Hatchback,Hybrid,1.3,188000 km,4.0,Automatic,Front,Right-hand drive,Blue,208
12777,HYUNDAI,Sonata,2013,Sedan,Petrol,2,162558 km,4.0,Automatic,Front,Left wheel,Black,209
18817,TOYOTA,Prius C,2013,Hatchback,Hybrid,1.5,130000 km,4.0,Automatic,Front,Left wheel,Red,210
22580,AUDI,Q5,2010,Jeep,Petrol,3.2,150400 km,6.0,Tiptronic,4x4,Left wheel,Grey,211
15991,FORD,Transit,2007,Microbus,Diesel,2.2 Turbo,280000 km,4.0,Manual,Front,Left wheel,White,212
7495,CHEVROLET,Captiva,2008,Jeep,Diesel,2,71486 km,4.0,Automatic,Front,Left wheel,Black,213
4861,LEXUS,CT 200h,2011,Hatchback,Hybrid,1.8,95590 km,4.0,Automatic,Front,Left wheel,White,214
13485,HYUNDAI,Sonata,2015,Sedan,LPG,2,72369 km,4.0,Automatic,Front,Left wheel,Silver,215
20005,HYUNDAI,Elantra,2012,Sedan,Petrol,1.6,147718 km,4.0,Automatic,Front,Left wheel,Silver,216
3000,SUBARU,Outback,2003,Goods wagon,Petrol,2.5,1000 km,6.0,Tiptronic,4x4,Right-hand drive,Blue,217
21730,HYUNDAI,Elantra,2017,Sedan,LPG,1.6,32510 km,4.0,Automatic,Front,Left wheel,Blue,218
80911,HYUNDAI,H1,2019,Minivan,Diesel,2.5,25541 km,4.0,Automatic,Front,Left wheel,Black,219
25299,HYUNDAI,Tucson,2012,Jeep,Diesel,2,160000 km,4.0,Automatic,Front,Left wheel,Grey,220
7213,CHEVROLET,Cruze,2018,Sedan,Diesel,1.6,28515 km,4.0,Automatic,Front,Left wheel,Grey,221
6899,CHEVROLET,Aveo,2012,Hatchback,Petrol,1.6,94923 km,4.0,Automatic,Front,Left wheel,Black,222
61499,HYUNDAI,Tucson,2019,Jeep,Diesel,2,1217 km,4.0,Automatic,Front,Left wheel,Blue,223
17249,TOYOTA,Prius,2010,Sedan,Hybrid,1.8,256000 km,6.0,Automatic,Front,Left wheel,White,224
49798,HYUNDAI,Santa FE,2015,Jeep,Diesel,2,93555 km,4.0,Automatic,Front,Left wheel,White,225
17249,HYUNDAI,Elantra,2013,Sedan,Petrol,1.8,64800 km,4.0,Tiptronic,Front,Left wheel,Black,226
